Account_Name,2020,2021,2022,2023
Total Assets,"42,034,351,000.00","47,546,933.00","53,783,580,174.00",
Total Deposit Liabilities,"31,188,264,000.00","34,212,867,000.00","39,428,925,000.00",
Total Equity,"6,386,753,000.00","7,960,973,000.00","9,261,895,000.00",
Total Liabilities,"34,674,495,000.00","38,488,815,000.00","44,521,784,000.00",
Cash & Cash Equivalent,"5,106,415,000.00","5,248,820,000.00","808,390,000.00",
Financial Investments,"1,962,102,000.00","3,177,504,000.00","9,275,926,000.00",
Gross Loan Portfolio,"38,804,173,000.00","39,378,377,000.00","45,074,284,000.00",
Net Loan Portfolio,"32,798,794,000.00","36,351,455,000.00","41,316,978,000.00",
Current Year's Surplus,"610,144,000.00","942,849,000.00","369,596,000.00",
Share Capital,"2,022,438,000.00","2,382,779,000.00","2,987,001,000.00",
Statutory Reserve,"1,188,896,000.00","1,473,792,000.00","1,670,253,000",