Account_Name,2019,2020,2021,2022,2023
Total Assets,"293,411,678.03","3,617,548,491.00","4,199,736,094.00","4,920,755,244.00",
Total Deposit Liabilities,"257,705,275.21","2,537,935,152.00","2,958,230,141.00","3,524,816,406.00",
Total Equity,"35,293,281.00","782,645,980.00","914,098,669.00","955,692,734.00",
Total Liabilities,"258,118,396.21","2,831,729,437.00","3,285,637,424.00","3,965,062,592.00",
Cash & Cash Equivalent,"60,942,574.03","782,294,992.00","1,035,713,221.19","1,366,906,242.00",
Financial Investments,"115,855.00","213,810,421.00","214,371,201.00","213,516,227.00",
Gross Loan Portforlio,"238,201,977.00","2,564,485,165.00","2,876,051,809.00","3,216,230,239.00",
Net Loan Portfolio,"216,882,733.00","2,478,581,524.00","2,800,698,147.00","3,151,612,610.00",
Current Year's Surplus,"17,320.00","86,256,085.00","84,478,339.00","44,642,289.00",
Share Capital,"18,970,134.00","191,287,939.00"," 204,354,229.00 "," 220,601,770.00 ",
Statutory Reserve," 5,785,290.00 ","144,642,645.00","176,460,261.00"," 200,792,959.00 ",