Account_Name,2019,2020,2021,2022
Total Assets,"1,602,742,627","1,922,805,951","2,070,959,237","2,209,776,677"
Total Deposit Liabilities,"1,023,936,381","1,148,508,668","1,242,000,588","1,332,497,673"
Total Equity,"348,494,138","386,710,824","436,927,480","469,055,800"
Total Liabilities,"1,263,650,874","1,536,095,127","1,634,031,757","1,740,720,877"
Cash & Cash Equivalent,"126,161,088","154,677,987","165,807,842","150,386,392"
Financial Investments,"218,554,560","285,174,658","437,931,242","488,614,494"
Gross Loan Portfolio,"905,898,148","1,014,523,454","1,040,330,186.00","1.027,056,145"
Net Loan Portfolio,"854,944,397","971,785,108","997,591,840","1,066,045,543"
Current Year's Surplus,,"17,594,228",,"-11,728,803.00"
Share Capital,"94,040,516","121,120,367","148,054,368.00","153,370,471.00"
Statutory Reserve,"36,256,597","39,514,815","37,272,789.00","48,394,692"