Account_Name,2018,2019,2020,2021,2022
Total Assets,"12,197,688,843.00","12,867,644,756.00","14,083,966,198.00","15,152,783,404.00","16,702,176,084.00"
Total Deposit Liabilities,"9,308,242,190.00","9,697,740,685.00","10,714,387,089.00","11,437,862,918.00","12,560,463,291.00"
Total Equity,"2,013,167,975.00","2,156,288,456.00","2,348,385,459.00","2,750,487,568.00","2,698,494,523.90"
Total Liabilities,"10,184,520,867.00","10,711,356,299.00","11,755,580,939.00","12,628,306,666.00","13,951,688,705.00"
Cash & Cash Equivalent,"3,387,311,998.00","3,991,429,849.00","5,290,319,261.00","5,829,694,681.00","48,722,817.00"
Financial Investments,"425,967,642.00","420,181,668.00","472,356,221.00","539,708,642.00","1,188,020,706.00"
Net Loan Portfolio,"8,297,125,538.00","8,313,754,552.00","8,241,685,920.00","8,686,477,474.00","10,034,205,855.00"
Gross Loan Portfolio,"8,320,111,836.00","8,414,359,918.00","8,419,219,143.00","8,851,981,817.00","10,274,952,287.00"
Current Year's Surplus,"178,836,162.00","204,601,235.00","152,873,456.00","701,193,835.00","90,432,545.00"
Share Capital,"888,741,501","937,694,856.00","985,832,180.00","1,023,469,537.00","1,131,426,707.00"
Statutory Reserve,"376,882,310","417,802,557.00","456,377,242.00","554,487,703.00","630,255,350.00"