SACCO,Year,Cash & Cash Equivalent,Current Year's Surplus,Financial Investments,Gross Loan Portfolio,Net Loan Portfolio,Share Capital,Statutory Reserve,Total Assets,Total Deposit liabilities,Total Equity,Total Liabilities
TRANS COUNTIES SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
TRANS COUNTIES SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
TRANS COUNTIES SACCO,2013,0,0,0,0,0,0,0,0,0,0,0
TRANS COUNTIES SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
TRANS COUNTIES SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
TRANS COUNTIES SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
TRANS COUNTIES SACCO,2017,0,0,0,0,0,0,0,0,0,0,0
TRANS COUNTIES SACCO,2018,0,0,0,0,0,0,0,0,0,0,0
TRANS COUNTIES SACCO,2019,0,0,0,0,0,0,0,0,0,0,0
TRANS COUNTIES SACCO,2020,80999768.0,11304214.0,3322320.0,23022185.0,94715902.0,20354392.0,6683483.0,196334663.0,142919971.0,44827009.0,151507655.0
TRANS COUNTIES SACCO,2021,84096060.0,1153474.0,3460532.0,122972158.0,101006133.0,22976846.0,7653773.0,203152195.0,144513444.0,49711439.0,153440755.0
TRANS COUNTIES SACCO,2022,114000530.0,-9988.0,3460532.0,123584731.0,102709901.0,27792649.0,8454012.0,234164331.0,169508703.0,55317494.0,178846838.0
TRANS COUNTIES SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
TRANS NATIONAL TIMES SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
TRANS NATIONAL TIMES SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
TRANS NATIONAL TIMES SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
TRANS NATIONAL TIMES SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
TRANS NATIONAL TIMES SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
TRANS NATIONAL TIMES SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
TRANS NATIONAL TIMES SACCO,2013,0,0,0,0,0,0,0,0,0,0,0
TRANS NATIONAL TIMES SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
TRANS NATIONAL TIMES SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
TRANS NATIONAL TIMES SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
TRANS NATIONAL TIMES SACCO,2017,0,0,0,0,0,0,0,0,0,0,0
TRANS NATIONAL TIMES SACCO,2018,0,0,0,0,0,0,0,0,0,0,0
TRANS NATIONAL TIMES SACCO,2019,126161088.0,0,218554560.0,905898148.0,854944397.0,94040516.0,36256597.0,1602742627.0,1023936381.0,348494138.0,1263650874.0
TRANS NATIONAL TIMES SACCO,2020,154677987.0,17594228.0,285174658.0,1014523454.0,971785108.0,121120367.0,39514815.0,1922805951.0,1148508668.0,386710824.0,1536095127.0
TRANS NATIONAL TIMES SACCO,2021,165807842.0,0,437931242.0,1040330186.0,997591840.0,148054368.0,37272789.0,2070959237.0,1242000588.0,436927480.0,1634031757.0
TRANS NATIONAL TIMES SACCO,2022,150386392.0,-11728803.0,488614494.0,1.027056145,1066045543.0,153370471.0,48394692.0,2209776677.0,1332497673.0,469055800.0,1740720877.0
TRANS NATIONAL TIMES SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2013,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2017,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2018,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2019,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2020,0,0,0,0,0,0,0,0,0,0,0
UNAITAS SACCO,2021,2203568219.0,192668465.0,1263960729.0,14562834447.0,13512468223.0,3855543553.0,825886351.0,18649502315.0,10141285907.0,6159438190.0,12317660219.0
UNAITAS SACCO,2022,2030980459.0,573145980.0,1538902177.0,16358617304.0,15156328326.0,3976823625.0,1034765149.0,20404300695.0,11021355112.0,7202942687.0,13201358010.0
UNAITAS SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
UNITED NATIONS SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
UNITED NATIONS SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
UNITED NATIONS SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
UNITED NATIONS SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
UNITED NATIONS SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
UNITED NATIONS SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
UNITED NATIONS SACCO,2013,0,0,0,0,0,0,0,0,0,0,0
UNITED NATIONS SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
UNITED NATIONS SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
UNITED NATIONS SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
UNITED NATIONS SACCO,2017,0,0,0,0,0,0,0,0,0,0,0
UNITED NATIONS SACCO,2018,3387311998.0,178836162.0,425967642.0,8297125538.0,8320111836.0,888741501.0,376882310.0,12197688843.0,9308242190.0,2013167975.0,10184520867.0
UNITED NATIONS SACCO,2019,3991429849.0,204601235.0,420181668.0,8313754552.0,8414359918.0,937694856.0,417802557.0,12867644756.0,9697740685.0,2156288456.0,10711356299.0
UNITED NATIONS SACCO,2020,5290319261.0,152873456.0,472356221.0,8241685920.0,8419219143.0,985832180.0,456377242.0,14083966198.0,10714387089.0,2348385459.0,11755580939.0
UNITED NATIONS SACCO,2021,5829694681.0,701193835.0,539708642.0,8686477474.0,8851981817.0,1023469537.0,554487703.0,15152783404.0,11437862918.0,2750487568.0,12628306666.0
UNITED NATIONS SACCO,2022,48722817.0,90432545.0,1188020706.0,10034205855.0,10274952287.0,1131426707.0,630255350.0,16702176084.0,12560463291.0,2698494524.0,13951688705.0
UNITED NATIONS SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
VIKTAS SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
VIKTAS SACCO,2008,692551.0,19800.0,69500.0,2617776.0,2617776.0,358000.0,19772.0,3475410.0,2279348.0,439861.0,3035549.0
VIKTAS SACCO,2009,2050924.0,22000.0,149500.0,6440080.0,6440080.0,618000.0,34772.0,8750647.0,5920804.0,736861.0,8013786.0
VIKTAS SACCO,2010,1466652,41916,209500,16654373,16654373,7470000,57751,19015501,8325050,8453756,10178659
VIKTAS SACCO,2011,6631870,123303,219500,26990740,26721318,10188316,211710,35649419,17127596,11856866,23792553
VIKTAS SACCO,2012,8447670.0,325421.0,227500.0,34462859.0,34118230.0,13099989.0,359738.0,48282362.0,29393861.0,15930148.0,32352214.0
VIKTAS SACCO,2013,0,0,0,0,0,0,0,0,0,0,0
VIKTAS SACCO,2014,14001725,-239269,2227686,72135405,70141759,18898149,723646,91290359,62128079,22540772,68749587
VIKTAS SACCO,2015,8376130,1172289,24053206,89845305,87975748,21766249,1319557,127846174,91757805,27501272,98289787
VIKTAS SACCO,2016,36432236,1291493,3532249,110900703,104310394,23368005,1844468,149933787,112200675,31120922,118812864
VIKTAS SACCO,2017,46322972.0,1114773.0,579979.0,121040684.0,112450375.0,25255387.0,2927061.0,169284069.0,121242355.4,46159736.0,131321376.6
VIKTAS SACCO,2018,57724521.0,0,580249.0,139494057.8,139494057.8,29583093.04,6113979.0,213140555.7,138253935.1,45921060.04,167219495.3
VIKTAS SACCO,2019,46245910.85,0,580249.0,194416093.6,183825784.6,31984936.8,5115343.8,252884528.0,175375674.0,50174488.3,202710039.7
VIKTAS SACCO,2020,31495404.03,6941523.0,10580249.0,244870584.7,232294714.7,35996598.31,6691270.0,299996601.6,213250139.3,60637566.17,239359035.4
VIKTAS SACCO,2021,31354985.0,0,10777171.0,305657997.0,291082127.0,41367361.0,8678273.0,360561167.0,251929259.0,73290644.0,287270522.0
VIKTAS SACCO,2022,40136992.0,2901868.0,777172.0,358511202.0,340435332.0,53313338.0,11130433.0,415120522.0,285244427.0,97517528.0,317602994.0
VIKTAS SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
VISION AFRICA SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
VISION AFRICA SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
VISION AFRICA SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
VISION AFRICA SACCO,2010,19363224,3541956,472260,112905266,112905266,10494697,531274,151015729,128604214,15259572,135756157
VISION AFRICA SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
VISION AFRICA SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
VISION AFRICA SACCO,2013,0,0,0,0,0,0,0,0,0,0,0
VISION AFRICA SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
VISION AFRICA SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
VISION AFRICA SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
VISION AFRICA SACCO,2017,0,0,0,0,0,0,0,0,0,0,0
VISION AFRICA SACCO,2018,0,0,0,0,0,0,0,0,0,0,0
VISION AFRICA SACCO,2019,0,0,0,0,0,0,0,0,0,0,0
VISION AFRICA SACCO,2020,41042857.0,5045847.0,293021.0,371165321.0,361847211.0,59790352.0,7521643.0,425369462.0,298782622.0,92148514.0,333220948.0
VISION AFRICA SACCO,2021,44208443.0,6744859.0,293021.0,478267747.0,459812005.0,69488716.0,11356525.0,531818874.0,381429144.0,112643919.0,419174954.0
VISION AFRICA SACCO,2022,40162115.0,6190710.0,351266.0,596874250.0,578065237.0,91472479.0,15456152.0,665977217.0,446531872.0,144918019.0,521059197.0
VISION AFRICA SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
VISION POINT SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
VISION POINT SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
VISION POINT SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
VISION POINT SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
VISION POINT SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
VISION POINT SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
VISION POINT SACCO,2013,0,0,0,0,0,0,0,0,0,0, 
VISION POINT SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
VISION POINT SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
VISION POINT SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
VISION POINT SACCO,2017,0,0,0,0,0,0,0,0,0,0,0
VISION POINT SACCO,2018,0,0,0,0,0,0,0,0,0,0,0
VISION POINT SACCO,2019,0,0,0,0,0,0,0,0,0,0,0
VISION POINT SACCO,2020,0,0,0,256873835.0,227759283.0,0,17773272.0,525124860.0,416628664.0,0,29901243.0
VISION POINT SACCO,2021,0,0,6293778.0,338459421.0,308794869.0,0,20157669.0,557062797.0,397433523.0,0,43636047.0
VISION POINT SACCO,2022,0,0,26606944.0,341151981.0,310887429.0,0,23292669.0,598754520.0,419859304.0,0,41334456.0
VISION POINT SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
WAKULIMA COMMERCIAL SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
WAKULIMA COMMERCIAL SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
WAKULIMA COMMERCIAL SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
WAKULIMA COMMERCIAL SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
WAKULIMA COMMERCIAL SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
WAKULIMA COMMERCIAL SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
WAKULIMA COMMERCIAL SACCO,2013,21760113,#REF!,17863697,320539200,312933438,0,6343633,409574162,296319708,0,26338982
WAKULIMA COMMERCIAL SACCO,2014,47930722,#REF!,44310422,301762103,291789680,0,7743437,424339220,326128476,0,26646429
WAKULIMA COMMERCIAL SACCO,2015,64879933.08,#REF!,44310422.19,309603490.2,299631067.1,0,6343633,463518894,363910285.4,0,4642444.88
WAKULIMA COMMERCIAL SACCO,2016,49119809.19,#REF!,39760613.2,319615567.5,309643144.4,0,7743437,456370932.6,352811563.7,0,27506533.77
WAKULIMA COMMERCIAL SACCO,2017,36488011.02,#REF!,39760613.2,320612193.3,310639770.2,0,7743437,436833618.5,346819826,0,4912342.24
WAKULIMA COMMERCIAL SACCO,2018,86995878.0,15782698.0,4228555.0,478678153.0,467465209.0,0,18296335.0,590186392.0,433315333.0,0,58156529.0
WAKULIMA COMMERCIAL SACCO,2019,44641958.0,13984730.0,58311419.0,546147164.0,529295686.0,0,21093281.0,659596375.0,486824375.0,0,64570649.0
WAKULIMA COMMERCIAL SACCO,2020,115558634.0,7939035.0,4228556.0,613873373.0,589610625.0,0,22681088.0,728596193.7,539970780.0,0,72931396.0
WAKULIMA COMMERCIAL SACCO,2021,41254198.0,18053689.73,40298938.0,659335537.0,599303500.0,0,27833604.0,710567919.8,511772825.0,0,47632633.17
WAKULIMA COMMERCIAL SACCO,2022,50760419.0,19483355.21,112289893.0,721543394.0,636581443.0,0,31730275.04,835259790.5,607530409.0,0,55210218.0
WAKULIMA COMMERCIAL SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
WANAANGA SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
WANAANGA SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
WANAANGA SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
WANAANGA SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
WANAANGA SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
WANAANGA SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
WANAANGA SACCO,2013,21760113,#REF!,17863697,320539200,312933438,0,6343633,409574162,296319708,0,26338982
WANAANGA SACCO,2014,47930722,#REF!,44310422,301762103,291789680,0,7743437,424339220,326128476,0,26646429
WANAANGA SACCO,2015,64879933.08,#REF!,44310422.19,309603490.2,299631067.1,0,6343633,463518894,363910285.4,0,4642444.88
WANAANGA SACCO,2016,49119809.19,#REF!,39760613.2,319615567.5,309643144.4,0,7743437,456370932.6,352811563.7,0,27506533.77
WANAANGA SACCO,2017,36488011.02,#REF!,39760613.2,320612193.3,310639770.2,0,7743437,436833618.5,346819826,0,4912342.24
WANAANGA SACCO,2018,86995878.0,15782698.0,4228555.0,478678153.0,467465209.0,0,18296335.0,590186392.0,433315333.0,0,58156529.0
WANAANGA SACCO,2019,44641958.0,13984730.0,58311419.0,546147164.0,529295686.0,0,21093281.0,659596375.0,486824375.0,0,64570649.0
WANAANGA SACCO,2020,115558634.0,7939035.0,4228556.0,613873373.0,589610625.0,0,22681088.0,728596193.7,539970780.0,0,72931396.0
WANAANGA SACCO,2021,55054627.0,15356017.0,18093594.0,978183933.0,931220535.0,0,46724597.0,1319265450.0,1052689060.0,0,42872796.0
WANAANGA SACCO,2022,198920739.0,16375524.0,18093594.0,960123790.0,910159860.0,0,49999702.0,1271749497.0,1002277480.0,0,43005630.0
WANAANGA SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
WANANCHI SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
WANANCHI SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
WANANCHI SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
WANANCHI SACCO,2010,0,0,472260.0,112905266.0,112905266.0,0,531274.0,151015729.0,128604214.0,0,0
WANANCHI SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
WANANCHI SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
WANANCHI SACCO,2013,0,0,0,0,0,0,0,0,0,0,0
WANANCHI SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
WANANCHI SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
WANANCHI SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
WANANCHI SACCO,2017,0,0,45486921,832525078,685110959,0,31870722,###########,852237862,0,0
WANANCHI SACCO,2018,0,0,45686922.0,791540870.0,627967516.0,0,36636128.0,1274664305.0,931336191.0,0,0
WANANCHI SACCO,2019,0,0,252130090.0,816869727.0,653020530.0,0,41373612.0,1292476096.0,908933229.0,0,0
WANANCHI SACCO,2020,0,0,431167742.0,810945319.0,635195558.0,0,46927876.0,1367873753.0,946509324.0,0,0
WANANCHI SACCO,2021,0,0,54537561.0,758041891.0,571668726.0,0,50780140.0,1384915572.0,929406148.0,0,0
WANANCHI SACCO,2022,0,0,41801832.0,812162376.0,598486828.0,0,55580570.0,1380976781.0,935024252.0,0,0
WANANCHI SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
WANANDEGE SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
WANANDEGE SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
WANANDEGE SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
WANANDEGE SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
WANANDEGE SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
WANANDEGE SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
WANANDEGE SACCO,2013,0,0,0,0,0,0,0,0,0,0, 
WANANDEGE SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
WANANDEGE SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
WANANDEGE SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
WANANDEGE SACCO,2017,0,0,0,0,0,0,0,0,0,0,0
WANANDEGE SACCO,2018,0,0,0,0,0,0,0,0,0,0,0
WANANDEGE SACCO,2019,0,0,4126000.0,1044903918.0,967443324.0,0,40570078.0,1519749190.0,1189408124.0,2063000.0,74433988.0
WANANDEGE SACCO,2020,0,0,13349540.0,959859812.0,872435102.0,0,42382692.0,1380239792.0,1098300749.0,0,10628404.0
WANANDEGE SACCO,2021,0,0,4126000.0,1030506840.0,989824971.0,0,45379511.0,1404360517.0,1050320983.0,2063000.0,66108374.0
WANANDEGE SACCO,2022,0,0,19928580.0,1250763646.0,1208077075.0,0,55432240.0,1659281653.0,1222559373.0,9964290.0,96872387.0
WANANDEGE SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2010,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2011,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2012,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2013,0,0,0,0,0,0,0,0,0,0, 
WINAS SACCO,2014,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2015,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2016,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2017,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2018,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2019,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2020,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2021,0,0,0,0,0,0,0,0,0,0,0
WINAS SACCO,2022,0,0,92368296.0,9734915300.0,8571140428.0,0,480787154.0,9790508652.0,5774547349.0,0,0
WINAS SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
YETU SACCO,2007,0,0,0,0,0,0,0,0,0,0,0
YETU SACCO,2008,0,0,0,0,0,0,0,0,0,0,0
YETU SACCO,2009,0,0,0,0,0,0,0,0,0,0,0
YETU SACCO,2010,169242912.0,0,14091580.0,502161933.0,502161933.0,127388080.0,22297880.0,886952707.0,559229530.0,203039553.0,683913154.0
YETU SACCO,2011,257607037,34656777,15191580,701336906,701336906,133080651,31912074,1185246560,745419886,254553782,930692778
YETU SACCO,2012,266034639.0,61691910.0,15191580.0,866580456.0,842727981.0,33482558.0,48489144.0,1235320891.0,881752998.0,236925035.0,998395856.0
YETU SACCO,2013,396472718,66244204,15985700,1050502640,1018650165,42200680,66444985,1560105754,1074107086,333973009,1226132745
YETU SACCO,2014,407827391,71920538,26085700,1169889815,1128533399,42265385,86652629,1699301395,1097902733,426691936,1272609459
YETU SACCO,2015,624424540,64817613,27282077,1260039501,1189398328,44365021,103145013,1995648187,1301662001,510101546,1485546640
YETU SACCO,2016,420746946,37877945,411782430,1490839582,1390743016,49648475,126132045,2415328924,1561654213,625483957,1789844967
YETU SACCO,2017,522599346,20516294,583025081,1720827246,1586230680,113780340,148036060,2882475144,1816103673,787260008,2095215135
YETU SACCO,2018,0,0,0,0,0,0,0,0,0,0,0
YETU SACCO,2019,1066133866.0,35832655.0,38417035.0,2700721660.0,2368943638.0,133906127.0,180400622.0,3701572851.0,2347338824.0,971414198.0,2730158655.0
YETU SACCO,2020,1226316816.0,140005077.0,108417035.0,2983656626.0,2610778604.0,145787006.0,215052536.0,4189144224.0,2600095208.0,1156288715.0,3032855509.0
YETU SACCO,2021,1322752340.0,120078529.0,116417035.0,3379491104.0,2997613082.0,158920399.0,251963835.0,4707277148.0,2849515045.0,1334866646.0,3354982044.0
YETU SACCO,2022,1502271759.0,63127954.0,137404140.0,3748213331.0,3312272534.0,186082159.0,268521578.0,5367548160.0,3238451047.0,1516411301.0,3851136859.0
YETU SACCO,2023,0,0,0,0,0,0,0,0,0,0,0
